PUID,Name
fmt/100,Hypertext Markup Language
fmt/101,Extensible Markup Language
fmt/102,Extensible Hypertext Markup Language
fmt/103,Extensible Hypertext Markup Language
fmt/107,Macromedia Flash
fmt/1070,Preferred Executable Format
fmt/1071,Apple Disk Image
fmt/108,Macromedia Flash
fmt/1087,FAT Disk Image
fmt/109,Macromedia Flash
fmt/110,Macromedia Flash
fmt/1102,Uuencoded File
fmt/1108,Python Compiled File
fmt/1109,Python Compiled File
fmt/111,OLE2 Compound Document Format
fmt/1112,Python Compiled File
fmt/1132,Netscape Bookmark File Format
fmt/114,Windows Bitmap
fmt/116,Windows Bitmap
fmt/1185,Apple Icon Image Format
fmt/1197,MyISAM Indexes File
fmt/126,Microsoft Powerpoint Presentation
fmt/1264,SketchUp Document
fmt/1265,SketchUp Document
fmt/1280,NCH Dictation Audio File
fmt/13,Portable Network Graphics
fmt/1300,Broderbund The Print Shop/PrintMaster/American Greetings Project
fmt/1441,Apple iWork Document
fmt/1457,OrgPlus File
fmt/1601,Type Library
fmt/1602,Type Library
fmt/1616,BibTeX Database File
fmt/1618,SGML/XML Entity File
fmt/1625,ESRI Colour File Format
fmt/1678,MATLAB Script File
fmt/1723,Wordcraft Chapter Files
fmt/1730,Data File
fmt/1735,C/C++ Header File
fmt/1742,Hierarchical File System Plus
fmt/1757,Apple Partition Map - ISO 9660 - UDF Hybrid Disk Image
fmt/1768,C Source Code File
fmt/1776,Extensible Markup Language
fmt/1788,Gunpaint Image File
fmt/208,Binary File
fmt/210,Statistica Report File
fmt/212,Information or Setup File
fmt/280,LaTeX (Master document)
fmt/3,Graphics Interchange Format
fmt/388,Internet Calendar and Scheduling format
fmt/394,DS_store file (MAC)
fmt/395,vCard
fmt/396,PocketMobi (Palm Resource) File
fmt/416,Apple Core Audio Format
fmt/420,Adobe Illustrator
fmt/471,Hypertext Markup Language
fmt/473,Microsoft Office Owner File
fmt/483,ePub format
fmt/486,Macromedia (Adobe) Director Compressed Resource file
fmt/50,Rich Text Format
fmt/500,Internet Explorer for Mac cache file
fmt/503,AppleDouble Resource Fork
fmt/52,Rich Text Format
fmt/520,OpenType Font File
fmt/526,Adobe Font List
fmt/53,Rich Text Format
fmt/583,Vector Markup Language
fmt/612,Mork
fmt/616,Web Open Font Format
fmt/639,Stuffit Archive File
fmt/646,Apple iWork Keynote
fmt/657,Open XML Paper Specification
fmt/670,PKCS #7 Cryptographic Message File
fmt/682,Thumbs DB file
fmt/692,Mach-O
fmt/693,Mach-O
fmt/729,SQLite Database File Format
fmt/817,JSON Data Interchange Format
fmt/818,YAML
fmt/868,MySQL Table Definition Format
fmt/870,Perl Script
fmt/899,Windows Portable Executable
fmt/92,Scalable Vector Graphics
fmt/938,Python Script File
fmt/96,Hypertext Markup Language
fmt/968,AppleSingle
fmt/969,Rich Text Format
fmt/973,DTS Coherent Acoustics (DCA) Audio
fmt/979,XML Property List
fmt/98,Hypertext Markup Language
fmt/983,NIB File Format
fmt/984,Binary Property List
fmt/99,Hypertext Markup Language
x-fmt/133,Speller Exclude Dictionary
x-fmt/140,Silicon Graphics Image
x-fmt/157,Interchange File
x-fmt/197,DataFlex Query Tag Name
x-fmt/207,X-Windows Bitmap Image
x-fmt/257,Microsoft Publisher
x-fmt/265,Tape Archive Format
x-fmt/266,GZIP Format
x-fmt/268,BZIP2 Compressed Archive
x-fmt/280,XML Schema Definition
x-fmt/301,ACBM Graphics
x-fmt/315,Document Type Definition
x-fmt/339,Lotus Notes File
x-fmt/342,Microsoft FoxPro Memo
x-fmt/412,Java Archive Format
x-fmt/413,Batch file (executable)
x-fmt/415,Java Compiled Object Code
x-fmt/416,BinHex Binary Text
x-fmt/418,Icon file format
x-fmt/419,DVD data file and backup data file
x-fmt/420,Windows Setup File
x-fmt/421,Text Configuration file
x-fmt/422,Java Language Source Code File
x-fmt/423,JavaScript file
x-fmt/427,Acrobat Language definition file
x-fmt/45,Microsoft Word Document Template
x-fmt/453,TrueType Font
x-fmt/454,Microsoft Internet Shortcut
x-fmt/62,Log File
x-fmt/76,CorelDraw Pattern
