directory_name,content_ranking,content_note,access_ranking,access_note,preservation_ranking,preservation_note,other_note
D_0001_D_0002_AIP,5,"Writings, correspondances have been communicated as high priority",4, Filenames are descriptive; File types are known; Normalization work may be needed to share some of the files,3,Most or all files are moderate risk based on NARA assessment,
D_0003_AIP,5,Corresponds to writings series and expressed interests,4, Filenames are descriptive; File types are known; Normalization work may be needed to share some of the files,3,Most or all files are moderate risk based on NARA assessment,
D_0004_D_0157_AIP,5,Corresponds to writings series and expressed interests,4, Filenames are descriptive; File types are known; Normalization work may be needed to share some of the files,3,Most or all files are moderate risk based on NARA assessment,
D_0005_D_0006_D_0007_D_0008_D_0009_AIP,4,Corresponds to press series?,4, Filenames are descriptive; File types are known; Normalization work may be needed to share some of the files,3,Most or all files are moderate risk based on NARA assessment,
D_0010_AIP,3,Unclear where it fits into arrangment or if it is priority,5, Filenames are descriptive; File types are known and readily viewable,4,"A majority of files are low risk, some are moderate risk based on NARA assessment","other backups exist, should they be combined?"
D_0011_AIP,4,Fits into exhibition files,4, Filenames are descriptive; File types are known; Normalization work may be needed to share some of the files,3,Most or all files are moderate risk based on NARA assessment,
D_0012_AIP,3,Unclear where it fits into arrangment or if it is priority,4, Filenames are descriptive; File types are known; Normalization work may be needed to share some of the files,4,"A majority of files are low risk, some are moderate risk based on NARA assessment",Should this be combined?
D_0013_AIP,4,"Artwork related, seem to be the scripts from dialogues",4, Filenames are descriptive; File types are known; Normalization work may be needed to share some of the files,3,Most or all files are moderate risk based on NARA assessment,
D_0014_AIP,3,"In need of review, heterogeneous material",4, Filenames are descriptive; File types are known; Normalization work may be needed to share some of the files,3,Most or all files are moderate risk based on NARA assessment,"In general word files seem to be newer versions of the wordperfect files, so some migration has already been done, this explains the duplication of file names."
D_0015_AIP,4,Artwork related,4, Filenames are descriptive; File types are known; Normalization work may be needed to share some of the files,3,Most or all files are moderate risk based on NARA assessment,
D_0016_AIP,4,These seem to be writings,4, Filenames are descriptive; File types are known; Normalization work may be needed to share some of the files,3,Most or all files are moderate risk based on NARA assessment,
D_0017_AIP,5,"Artwork related, seem to be prompts or scripts?",4, Filenames are descriptive; File types are known; Normalization work may be needed to share some of the files,3,Most or all files are moderate risk based on NARA assessment,
D_0018_AIP,5,Artwork related materials,4, Filenames are descriptive; File types are known; Normalization work may be needed to share some of the files,3,Most or all files are moderate risk based on NARA assessment,
D_0019_AIP,3,Fits into Music and sound series,4, Filenames are descriptive; File types are known; Normalization work may be needed to share some of the files,3,Most or all files are moderate risk based on NARA assessment,
D_0020_AIP,5,"Writings, MC expressed as important",4, Filenames are descriptive; File types are known; Normalization work may be needed to share some of the files,3,Most or all files are moderate risk based on NARA assessment,
D_0021_AIP,4,"Artwork related, artist statements",4, Filenames are descriptive; File types are known; Normalization work may be needed to share some of the files,3,Most or all files are moderate risk based on NARA assessment,contains files that should be weeded from extracted files folder
D_0022_AIP,2,Don't know where it fits into arrangement and not expressed as interest area,4, Filenames are descriptive; File types are known; Normalization work may be needed to share some of the files,3,Most or all files are moderate risk based on NARA assessment,
D_0023_AIP,2,"Needs investigation, somewhat unkown, maybe beat of the traps related",1, Filenames are not descriptive ; File types are unkown,1,All files are high risk based on NARA assessment and will require significant effort to migrate them to a preservation format,
D_0024_AIP,3,Press series? ,4, Filenames are descriptive; File types are known; Normalization work may be needed to share some of the files,3,Most or all files are moderate risk based on NARA assessment,
D_0025_AIP,4,"Don't know exactly what this is, involves Tony Oursler seems to be a transcription of a tape?",4, Filenames are descriptive; File types are known; Normalization work may be needed to share some of the files,3,Most or all files are moderate risk based on NARA assessment,
