SIP_ID,Identifier,Transcription
D_0001,D-0001,"B/U [Back-up] ""MK Statements""
& Letters
Disc 1"
D_0002,D-0002,"B/U MK Statements 
& Letters
Disk 2"
D_0003,D-0003,"B/U ""Mike's Writings""
Creative writings"
D_0004,D-0004,"B/U Mike's Writings
""critical writings"" 
""MIT test edits""
Disc 2

"
D_0005,D-0005,"B/U MK Writings
Interviews & Panel Discussion
Disc #1"
D_0006,D-0006,"B/U MK Writings
Interviews & Panel Discussion
Disc #2"
D_0007,D-0007,"B/U MK Writings
Interviews & Panel Discussion
Disc #3"
D_0008,D-0008,"B/U MK Writings
Interviews & Panel Discussion
Disc #4"
D_0009,D-0009,"B/U MK Writings
Interviews & Panel Discussion
Disc #5"
D_0010,D-0010,"B/U ""Biomaster"""
D_0011,D-0011,"B/U ""Check & ship lists"""
D_0012,D-0012,Bio Backup
D_0013,D-0013,"Dialogues:
Ambiguity (#7)
Green (#6)
Pink (#2)
Theory (#1)
Written (#4)"
D_0014,D-0014,"1995
WPSI [or 51]
Randmo
Baby, Child, Green, Jab [Z or 2], Line, O, Skin
Cal, Grease, Interview, Jab 45, Lyrics, Ren, Vof M"
D_0015,D-0015,"Timeless [...]
Newspaper Texts
Bee gang
(Grease)rs
P Eye
Child: we communicate only education complex (arch) 
Jablonka Catalogue Text (JAB2)
Hannover catalogue test [...]"
D_0016,D-0016,"Articles:
(Cal) Tiki
(Baby) Huey
Bananaman notes
Craft statement
Carnegie statement
Fresh Acconci script
Bartman Text (Art)
BAM Proposal (rock opera)
Doubletake statement [...]
Etc"
D_0017,D-0017,"Beat of the Traps
Text:
Bonham | Mitchell | Moon | Whaley "
D_0018,D-0018,"Uncanny
Photo Cropping | Crates
Harems | Photo list (SBL) |
Press Release | Essay
Wishlist | Comic Books"
D_0019,D-0019,"Destory All Monsters
Box Set Texts, Etc:
CD (song titles / times)
Credits / Interview
(Edit) / Interview 2 (w...)
Liner notes, lyrics
DAT list (DAM story) /
DAM Live"
D_0020,D-0020,"Huebler Essay
Fahlstrom Essay (0)
Thek Essay
Larry Clark Int.
Brood + Haers (Marcel)
Pig [Dig?] Handout"
D_0021,D-0021,"Kelley / McCarthy
- VOG Statements
(Live @ P House/Studio C)
- Seccession Works 
Statements"
D_0022,D-0022,"Mike Kelley Resume 
Updated 3/10/98
Broken into various sections"
D_0023,D-0023,"""Beat"""
D_0024,D-0024,"Wilder/Kelley
Text
Letter to collector '98"
D_0025,D-0025,"MSWFW
Japan 1.doc
Japan 2.doc
Japan 3.doc"
D_0026,D-0026,"Mac
Metro Bio
Mike
May '97"
D_0027,D-0027,"Mike Kelley Resume
updated 2-13-98
For Jablonka"
D_0028,D-0028,"Resume in Sections
10.8.97"
D_0029,D-0029,"M. Resume 
97"
D_0030,D-0030,"With Mac
Resume 
8/97"
D_0031,D-0031,"Kelley 1997
March
April
May
Address, Metro, Radio, SVM
archive, Music, Arc [Arl] coship
Doc/Doc 15 P. Itin Mast.
Malmo P. liner Poetiques State"
D_0032,D-0032,"WP51
1997 Random
address
archive
Malmo
P Liner
Sum
1996
Arc
Estimate
Metrosh
State"
D_0033,D-0033,"For 1997 Taxes
Saved 1.28.98"
D_0034,D-0034,"Dir C: WPSI
Saved 3-19-97"
